name1,type1,ref1,strand1,left1,right1,name2,type2,ref2,strand2,left2,right2,nb_ints,nb_multi,in_libs,fisher_pvalue,fisher_fdr,odds_ratio,bp_pvalue,bp_fdr,meanlen1,nms1,meanlen2,nms2
Vcr222,sRNA,NC_002505,-,2783840,2783908,OppZ,sRNA,NC_002505,+,1164273,1164325,79672,245,true,0.0,0.0,195.89558580619473,1.7837503723275186e-31,1.8024797512369576e-28,28,0.2589,28,0.249
FarS,sRNA,NC_002505,-,2266017,2266134,VSsrna24,sRNA,NC_002505,+,106481,106537,60174,239,true,0.0,0.0,19.763313451894764,7.174992056466604e-10,1.5263851522230531e-7,28,0.2596,28,0.2488
Vcr229,sRNA,NC_002506,+,897527,897726,VSsrna24,sRNA,NC_002505,+,106481,106537,16668,71,true,0.0,0.0,8.029958439687409,7.007573534542574e-80,2.8324612226621083e-76,28,0.2565,28,0.2496
VSsrna24,sRNA,NC_002505,+,106481,106537,FarS,sRNA,NC_002505,-,2266017,2266134,12415,38,true,0.0,0.0,8.037356656733692,6.582459445814823e-13,2.418754643634865e-10,28,0.2637,28,0.2455
VC0734,CDS_UTRS,NC_002505,+,788749,790684,Vcr001,sRNA,NC_002505,+,21901,21941,11554,58,true,0.0,0.0,30.703535524295205,9.405416791839321e-8,1.6528997683745448e-5,28,0.2622,29,0.2608
MicX,sRNA,NC_002506,-,893273,893616,VC0972,CDS_UTRS,NC_002505,+,1037691,1038978,9786,42,true,0.0,0.0,250.3446224572827,0.0001752869207081947,0.014459382316378019,28,0.2614,28,0.2447
Vcr025,sRNA,NC_002505,+,522631,522716,VadR,sRNA,NC_002506,+,3202,3285,9756,23,true,0.0,0.0,1509.0082445225191,2.2960980161641197e-16,1.0312031312594857e-13,28,0.259,28,0.2496
VSsrna24,sRNA,NC_002505,+,106481,106537,Vcr229,sRNA,NC_002506,+,897527,897726,8165,23,true,0.0,0.0,21.204255212334402,1.0096991877537016e-74,2.040602058450231e-71,28,0.2716,28,0.2489
VC0972,CDS_UTRS,NC_002505,+,1037691,1038978,MicX,sRNA,NC_002506,-,893273,893616,7209,22,true,0.0,0.0,433.01489743209675,3.1089951582504614e-7,5.026623371859346e-5,28,0.2616,28,0.2501
VC0549,CDS_UTRS,NC_002505,+,582157,582617,Vcr001,sRNA,NC_002505,+,21901,21941,6741,22,true,0.0,0.0,28.435510905488595,2.3111620993951267e-6,0.0003336327573483965,28,0.2609,29,0.2553
VC0573,CDS_UTRS,NC_002505,+,604056,604812,Vcr001,sRNA,NC_002505,+,21901,21941,4758,28,true,0.0,0.0,19.404165086865724,0.6377403051220776,0.9353633839750259,28,0.2617,29,0.2591
VCA0059,CDS_UTRS,NC_002506,-,66326,66974,VrrA,sRNA,NC_002505,+,1878684,1878823,4568,21,true,0.0,0.0,450.2322772941642,0.043236928120068095,0.5416063270777483,28,0.2638,28,0.2518
VC1337,CDS_UTRS,NC_002505,+,1420725,1421993,Spot42,sRNA,NC_002505,+,106076,106185,3022,11,true,0.0,0.0,2749.0745131520453,0.02103053877288052,0.4028693730804885,28,0.2627,28,0.2508
oppA,CDS_UTRS,NC_002505,+,1158468,1160373,Vcr001,sRNA,NC_002505,+,21901,21941,2820,12,true,0.0,0.0,14.057065352821635,0.005655723031683725,0.19050360411721345,28,0.2755,29,0.2557
VC2086,CDS_UTRS,NC_002505,-,2245324,2246621,Vcr001,sRNA,NC_002505,+,21901,21941,2714,14,true,0.0,0.0,13.066451235876649,7.191115079086796e-7,0.0001117941813448801,28,0.2605,29,0.2564
VCA1097,CDS_UTRS,NC_002506,-,1052859,1053364,VqmR,sRNA,NC_002506,+,1031438,1031588,2575,5,true,0.0,0.0,498.0747592598117,2.950523766035028e-7,4.969173775963993e-5,28,0.2544,28,0.2412
VSsrna24,sRNA,NC_002505,+,106481,106537,Vcr001,sRNA,NC_002505,+,21901,21941,2500,14,true,1.0,1.0,0.37942269646459387,0.6937006295549344,0.9456617067020571,29,0.27,29,0.2616
VC1461,CDS_UTRS,NC_002505,-,1570993,1571309,Vcr096,sRNA,NC_002506,-,243936,243986,2458,9,true,0.0,0.0,6438.112195639263,4.932945693805195e-6,0.0006431924675600192,28,0.2673,27,0.2522
VC1872,CDS_UTRS,NC_002505,+,2014835,2016961,FarS,sRNA,NC_002505,-,2266017,2266134,2179,3,true,0.0,0.0,71.64369843679258,5.987117579892184e-6,0.0007562477893101315,28,0.252,28,0.246
FarS,sRNA,NC_002505,-,2266017,2266134,Vcr001,sRNA,NC_002505,+,21901,21941,2165,13,true,1.0,1.0,0.12894067221242647,4.109801170561827e-6,0.0005537272110470301,28,0.2674,29,0.2693
VC1149,CDS_UTRS,NC_002505,-,1220318,1222019,Vcr001,sRNA,NC_002505,+,21901,21941,2090,9,true,0.0,0.0,26.658101146545732,0.10527891088055848,0.67630744,28,0.2909,29,0.2646
VC1898,CDS_UTRS,NC_002505,+,2044294,2046597,VSsrna24,sRNA,NC_002505,+,106481,106537,1908,9,true,0.0,0.0,9.38643727341762,0.9999999223696437,1.0,29,0.2673,28,0.2526
rpoB,CDS_UTRS,NC_002505,+,340254,344451,Vcr017,sRNA,NC_002505,-,350275,350367,1737,6,true,0.0,0.0,193.64263046428653,0.9999999819805742,1.0,28,0.2735,28,0.2637
Vcr017,sRNA,NC_002505,-,350275,350367,VSsrna24,sRNA,NC_002505,+,106481,106537,1731,5,true,1.0,1.0,0.5792632117456877,0.9999999999999776,1.0,28,0.2802,29,0.2669
VC1043,CDS_UTRS,NC_002505,-,1111380,1112947,FarS,sRNA,NC_002505,-,2266017,2266134,1629,6,true,0.0,0.0,79.84714706413122,0.017004264855672368,0.3628669496777931,28,0.2646,27,0.24
Vcr229,sRNA,NC_002506,+,897527,897726,Vcr228,sRNA,NC_002506,+,787266,787431,1616,5,true,0.0,0.0,52.71232617405013,9.491839034680268e-29,7.673202675635528e-26,28,0.2593,28,0.2587
VC2469,CDS_UTRS,NC_002505,+,2650006,2652058,Vcr017,sRNA,NC_002505,-,350275,350367,1579,2,true,0.0,0.0,148.22922230227147,1.0,1.0,28,0.2578,27,0.2286
QrrX,sRNA,NC_002506,-,776823,776968,Qrr3,sRNA,NC_002506,+,772258,772365,1435,6,true,0.0,0.0,172.854472120968,1.5992195415516415e-58,2.154681795650578e-55,28,0.2606,29,0.2481
VC0305,CDS_UTRS,NC_002505,-,316344,317860,VqmR,sRNA,NC_002506,+,1031438,1031588,1369,5,true,0.0,0.0,395.01070365056313,0.922545462141575,0.9912401200315873,28,0.2739,28,0.2586
VC0671,CDS_UTRS,NC_002505,+,716880,717661,Vcr017,sRNA,NC_002505,-,350275,350367,1257,5,true,0.0,0.0,208.24826592529803,0.999803655391141,1.0,28,0.2601,28,0.2371
