name1,type1,ref1,strand1,left1,right1,name2,type2,ref2,strand2,left2,right2,nb_ints,nb_multi,in_libs,fisher_pvalue,fisher_fdr,odds_ratio,bp_pvalue,bp_fdr,meanlen1,nms1,meanlen2,nms2
Vcr222,sRNA,NC_002505,-,2783840,2783908,OppZ,sRNA,NC_002505,+,1164273,1164325,73834,9,true,0.0,0.0,125.16660623147664,1.2864576558867957e-31,1.0883431768802291e-29,28,0.2599,28,0.2511
FarS,sRNA,NC_002505,-,2266017,2266134,VSsrna24,sRNA,NC_002505,+,106481,106537,56232,7,true,0.0,0.0,16.56566454121779,5.630262220073167e-10,1.4009417171123233e-8,28,0.2603,29,0.2503
Vcr229,sRNA,NC_002506,+,897527,897726,VSsrna24,sRNA,NC_002505,+,106481,106537,15705,4,true,0.0,0.0,7.332771896600583,1.1065877771949182e-75,2.3404331487672522e-73,28,0.259,29,0.25
VSsrna24,sRNA,NC_002505,+,106481,106537,FarS,sRNA,NC_002505,-,2266017,2266134,11540,1,true,0.0,0.0,6.084732348799663,1.7983651035618264e-11,5.85160337543579e-10,29,0.2637,28,0.2477
VC0734,CDS_UTRS,NC_002505,+,788749,790684,Vcr001,sRNA,NC_002505,+,21901,21941,11213,4,true,0.0,0.0,29.603890877430217,1.0598366088053388e-7,1.9491777631506882e-6,29,0.2655,29,0.2601
MicX,sRNA,NC_002506,-,893273,893616,VC0972,CDS_UTRS,NC_002505,+,1037691,1038978,9119,0,true,0.0,0.0,179.65770039317619,0.0004117012182137662,0.0037858612022700676,28,0.2647,28,0.2486
Vcr025,sRNA,NC_002505,+,522631,522716,VadR,sRNA,NC_002506,+,3202,3285,9101,0,true,0.0,0.0,959.8023429274908,8.861056708016598e-16,3.748226987491021e-14,29,0.2595,28,0.2518
VSsrna24,sRNA,NC_002505,+,106481,106537,Vcr229,sRNA,NC_002506,+,897527,897726,7598,1,true,0.0,0.0,15.742299173990887,1.7689298239123615e-72,2.4941910517164296e-70,29,0.2706,28,0.2507
VC0972,CDS_UTRS,NC_002505,+,1037691,1038978,MicX,sRNA,NC_002506,-,893273,893616,6709,0,true,0.0,0.0,271.2412037292778,4.7296258716321704e-7,8.002526974801633e-6,28,0.265,28,0.254
VC0549,CDS_UTRS,NC_002505,+,582157,582617,Vcr001,sRNA,NC_002505,+,21901,21941,6523,1,true,0.0,0.0,27.404660299620776,1.6633985416187586e-6,2.605991048536055e-5,28,0.2606,29,0.2551
VC0573,CDS_UTRS,NC_002505,+,604056,604812,Vcr001,sRNA,NC_002505,+,21901,21941,4598,1,true,0.0,0.0,18.974475217364358,0.6555750018287321,0.9628899096774194,28,0.2612,29,0.2582
VCA0059,CDS_UTRS,NC_002506,-,66326,66974,VrrA,sRNA,NC_002505,+,1878684,1878823,4269,1,true,0.0,0.0,376.11833572682656,0.09943776765422116,0.36896645366434694,28,0.2654,28,0.2516
VC1337,CDS_UTRS,NC_002505,+,1420725,1421993,Spot42,sRNA,NC_002505,+,106076,106185,2810,0,true,0.0,0.0,1979.5025576042974,0.03804697539323109,0.1915936975159137,28,0.2676,28,0.2555
oppA,CDS_UTRS,NC_002505,+,1158468,1160373,Vcr001,sRNA,NC_002505,+,21901,21941,2752,0,true,0.0,0.0,13.836008043537461,0.010322948949141094,0.06717857546902589,29,0.2776,29,0.2569
VC2086,CDS_UTRS,NC_002505,-,2245324,2246621,Vcr001,sRNA,NC_002505,+,21901,21941,2637,1,true,0.0,0.0,12.896129287710181,1.486426979749695e-6,2.4183023555158504e-5,28,0.2632,29,0.2586
VSsrna24,sRNA,NC_002505,+,106481,106537,Vcr001,sRNA,NC_002505,+,21901,21941,2442,0,true,1.0,1.0,0.334881617974209,0.6824298525796062,0.9628899096774194,29,0.2678,29,0.2609
VCA1097,CDS_UTRS,NC_002506,-,1052859,1053364,VqmR,sRNA,NC_002506,+,1031438,1031588,2386,0,true,0.0,0.0,365.8886939163791,2.027220952196188e-7,3.572976928245781e-6,28,0.2578,28,0.2439
VC1461,CDS_UTRS,NC_002505,-,1570993,1571309,Vcr096,sRNA,NC_002506,-,243936,243986,2275,0,true,0.0,0.0,3904.075453872755,1.4268899973773192e-5,0.00018290135420927456,29,0.2673,28,0.2545
FarS,sRNA,NC_002505,-,2266017,2266134,Vcr001,sRNA,NC_002505,+,21901,21941,2085,0,true,1.0,1.0,0.12832665487114336,4.673067278154664e-6,6.589024862198076e-5,28,0.2691,29,0.2705
VC1149,CDS_UTRS,NC_002505,-,1220318,1222019,Vcr001,sRNA,NC_002505,+,21901,21941,2033,1,true,0.0,0.0,25.827457725321395,0.09231715021592178,0.35825829854435703,29,0.2941,29,0.2671
VC1872,CDS_UTRS,NC_002505,+,2014835,2016961,FarS,sRNA,NC_002505,-,2266017,2266134,2018,0,true,0.0,0.0,48.61108254187015,1.784727601421043e-6,2.6962134835753616e-5,29,0.2522,28,0.2488
VC1898,CDS_UTRS,NC_002505,+,2044294,2046597,VSsrna24,sRNA,NC_002505,+,106481,106537,1839,0,true,0.0,0.0,8.971353350540197,0.9999999361640962,1.0,29,0.2703,29,0.2529
Vcr017,sRNA,NC_002505,-,350275,350367,VSsrna24,sRNA,NC_002505,+,106481,106537,1611,0,true,1.0,1.0,0.5246983170132342,0.9999999999999502,1.0,28,0.2849,29,0.2713
rpoB,CDS_UTRS,NC_002505,+,340254,344451,Vcr017,sRNA,NC_002505,-,350275,350367,1599,0,true,0.0,0.0,139.12425060082955,0.9999998665506363,1.0,28,0.2758,29,0.2677
Vcr229,sRNA,NC_002506,+,897527,897726,Vcr228,sRNA,NC_002506,+,787266,787431,1498,0,true,0.0,0.0,45.448942443679975,6.869053498067694e-27,4.150870899546621e-25,29,0.2583,29,0.2583
VC1043,CDS_UTRS,NC_002505,-,1111380,1112947,FarS,sRNA,NC_002505,-,2266017,2266134,1490,0,true,0.0,0.0,51.15828634001986,0.026902499867011324,0.1497336505756025,28,0.2651,28,0.243
VC2469,CDS_UTRS,NC_002505,+,2650006,2652058,Vcr017,sRNA,NC_002505,-,350275,350367,1455,0,true,0.0,0.0,100.15569195801494,1.0,1.0,28,0.2605,28,0.2296
QrrX,sRNA,NC_002506,-,776823,776968,Qrr3,sRNA,NC_002506,+,772258,772365,1381,2,true,0.0,0.0,164.15840357202174,9.472258044442884e-58,1.001691288199835e-55,29,0.2614,29,0.2498
VC0305,CDS_UTRS,NC_002505,-,316344,317860,VqmR,sRNA,NC_002506,+,1031438,1031588,1270,0,true,0.0,0.0,288.2255646460937,0.9203679989336946,1.0,28,0.2756,28,0.2598
VC0567,CDS_UTRS,NC_002505,-,601073,601774,Vcr001,sRNA,NC_002505,+,21901,21941,1190,0,true,0.0,0.0,25.64286365616131,0.0005607685098683677,0.00494177249321499,29,0.2563,29,0.2454
VC0671,CDS_UTRS,NC_002505,+,716880,717661,Vcr017,sRNA,NC_002505,-,350275,350367,1158,0,true,0.0,0.0,135.060215187246,0.9996617097395628,1.0,29,0.2556,28,0.2383
FarS,sRNA,NC_002505,-,2266017,2266134,VC1872,CDS_UTRS,NC_002505,+,2014835,2016961,1152,0,true,0.0,0.0,10.214311854332372,3.940709758909439e-5,0.000476262922291055,28,0.2587,28,0.2439
VC0348,CDS_UTRS,NC_002505,+,370445,371757,Vcr001,sRNA,NC_002505,+,21901,21941,1135,1,true,0.0,0.0,22.806479700086975,0.03602081795280143,0.18581470724432933,28,0.2581,29,0.2361
Vcr017,sRNA,NC_002505,-,350275,350367,Vcr001,sRNA,NC_002505,+,21901,21941,1121,0,true,1.0,1.0,0.5920866866430661,0.9941851899792333,1.0,29,0.3265,29,0.2489
rplQ,CDS_UTRS,NC_002505,-,2750912,2751498,FarS,sRNA,NC_002505,-,2266017,2266134,1064,0,true,0.0,0.0,49.1053925710396,0.06858923574437817,0.28444359529286245,29,0.2547,29,0.2462
VC1760,CDS_UTRS,NC_002505,-,1897970,1901459,Vcr001,sRNA,NC_002505,+,21901,21941,1055,0,true,0.0,0.0,22.525120467394345,0.04277853988835398,0.19884969640410696,28,0.3024,29,0.2578
MicX,sRNA,NC_002506,-,893273,893616,OppZ,sRNA,NC_002505,+,1164273,1164325,1045,0,true,1.0,1.0,0.256959292124805,0.006418180645143844,0.04450640021140731,28,0.2622,29,0.245
VcdRP,sRNA,NC_002505,-,2433387,2433692,Vcr034,sRNA,NC_002505,-,756018,756164,994,0,true,0.0,0.0,2549.2176392872166,0.9999993559779228,1.0,28,0.2716,29,0.2465
FarS,sRNA,NC_002505,-,2266017,2266134,VCA1072,CDS_UTRS,NC_002506,-,1022807,1023541,973,1,true,0.0,0.0,25.89759126318361,0.17430511159769546,0.5120212653182304,28,0.2734,28,0.2312
VC0583,CDS_UTRS,NC_002505,-,612366,613376,Qrr3,sRNA,NC_002506,+,772258,772365,934,0,true,0.0,0.0,187.0965779902464,0.03712552880358523,0.18920600823995848,29,0.2452,29,0.2366
Vcr036,sRNA,NC_002505,-,840378,840471,VrrA,sRNA,NC_002505,+,1878684,1878823,878,0,true,0.0,0.0,87.02049632460556,4.994727381875523e-17,2.347521869481496e-15,28,0.2688,29,0.2426
atpC,CDS_UTRS,NC_002505,-,2949562,2950107,Vcr017,sRNA,NC_002505,-,350275,350367,877,1,true,0.0,0.0,127.03514782818428,0.8729513244146189,1.0,29,0.2668,28,0.2634
Vcr017,sRNA,NC_002505,-,350275,350367,FarS,sRNA,NC_002505,-,2266017,2266134,873,0,true,0.9945419299441268,1.0,0.9148461525285484,0.43155554440177923,0.7644845925925926,28,0.2543,29,0.2451
VC2367,CDS_UTRS,NC_002505,-,2523852,2524435,Vcr001,sRNA,NC_002505,+,21901,21941,831,0,true,0.0,0.0,24.091829442641494,0.009638481124486776,0.06370433618215478,29,0.2816,29,0.2527
MicX,sRNA,NC_002506,-,893273,893616,FarS,sRNA,NC_002505,-,2266017,2266134,822,0,true,1.0,1.0,0.5900943415171795,0.29811764509359995,0.6688740017832727,28,0.2494,29,0.2543
VC2271,CDS_UTRS,NC_002505,-,2425321,2426424,Vcr017,sRNA,NC_002505,-,350275,350367,816,0,true,0.0,0.0,111.94118213106044,0.998621867890487,1.0,28,0.2684,28,0.2402
VCA0919,CDS_UTRS,NC_002506,+,871122,871725,Vcr017,sRNA,NC_002505,-,350275,350367,815,0,true,0.0,0.0,83.09284185790793,0.9627833340203497,1.0,28,0.2564,28,0.2589
VC1558,CDS_UTRS,NC_002505,-,1669192,1670828,VSsrna24,sRNA,NC_002505,+,106481,106537,814,0,true,0.0,0.0,20.675453364017454,0.4057638992475714,0.7644845925925926,29,0.2813,29,0.2494
