name1,type1,ref1,strand1,left1,right1,name2,type2,ref2,strand2,left2,right2,nb_ints,nb_multi,in_libs,fisher_pvalue,fisher_fdr,odds_ratio,bp_pvalue,bp_fdr,meanlen1,nms1,meanlen2,nms2
Vcr222,sRNA,NC_002505,-,2783840,2783908,OppZ,sRNA,NC_002505,+,1164273,1164325,79784,248,true,0.0,0.0,198.24247707907858,3.373942521152669e-100,6.727641387178422e-97,28,0.2597,28,0.2495
FarS,sRNA,NC_002505,-,2266017,2266134,VSsrna24,sRNA,NC_002505,+,106481,106537,60399,276,true,0.0,0.0,20.05603887207075,3.744989174097184e-23,2.4891694710499282e-20,28,0.2608,28,0.2504
Vcr229,sRNA,NC_002506,+,897527,897726,VSsrna24,sRNA,NC_002505,+,106481,106537,16750,82,true,0.0,0.0,8.157980870974784,1.616140693148956e-266,9.667753626417054e-263,28,0.2581,28,0.2522
VSsrna24,sRNA,NC_002505,+,106481,106537,FarS,sRNA,NC_002505,-,2266017,2266134,12449,43,true,0.0,0.0,8.281945654616543,1.7114184840540152e-19,1.023770537161112e-16,28,0.2651,28,0.2465
VC0734,CDS_UTRS,NC_002505,+,788749,790684,Vcr001,sRNA,NC_002505,+,21901,21941,11634,74,true,0.0,0.0,30.8120044410784,0.0003848563235369535,0.033856037167618466,28,0.2638,29,0.2635
MicX,sRNA,NC_002506,-,893273,893616,VC0972,CDS_UTRS,NC_002505,+,1037691,1038978,9818,46,true,0.0,0.0,255.59699655289023,0.0021404874304954344,0.13768167536799666,28,0.2626,28,0.2462
Vcr025,sRNA,NC_002505,+,522631,522716,VadR,sRNA,NC_002506,+,3202,3285,9786,31,true,0.0,0.0,1510.977443167394,2.178815030522075e-6,0.0004204410165349372,28,0.2602,28,0.251
VSsrna24,sRNA,NC_002505,+,106481,106537,Vcr229,sRNA,NC_002506,+,897527,897726,8192,28,true,0.0,0.0,22.10019931212929,7.063674298496265e-182,2.1127449826802327e-178,28,0.2733,28,0.2501
VC0972,CDS_UTRS,NC_002505,+,1037691,1038978,MicX,sRNA,NC_002506,-,893273,893616,7229,26,true,0.0,0.0,446.09286915971546,4.171748826434948e-5,0.005941762257079489,28,0.2626,28,0.2513
VC0549,CDS_UTRS,NC_002505,+,582157,582617,Vcr001,sRNA,NC_002505,+,21901,21941,6774,32,true,0.0,0.0,28.24014517862223,9.355231568514807e-9,2.54377251103889e-6,28,0.2629,29,0.2566
VC0573,CDS_UTRS,NC_002505,+,604056,604812,Vcr001,sRNA,NC_002505,+,21901,21941,4793,34,true,0.0,0.0,19.667980295160426,0.7986008970842902,0.9595716393442623,28,0.2635,29,0.2606
VCA0059,CDS_UTRS,NC_002506,-,66326,66974,VrrA,sRNA,NC_002505,+,1878684,1878823,4578,24,true,0.0,0.0,450.7487460181608,1.803080462469662e-6,0.00037193197677563855,28,0.2643,28,0.2527
