name1,type1,ref1,strand1,left1,right1,name2,type2,ref2,strand2,left2,right2,nb_ints,nb_multi,in_libs,fisher_pvalue,fisher_fdr,odds_ratio,bp_pvalue,bp_fdr,meanlen1,nms1,meanlen2,nms2
Vcr222,sRNA,NC_002505,-,2783840,2783908,OppZ,sRNA,NC_002505,+,1164273,1164325,82012,114,true,0.0,0.0,259.4502426028705,1.2309547801138246e-102,2.2358241989467433e-99,28,0.2314,28,0.2202
FarS,sRNA,NC_002505,-,2266017,2266134,VSsrna24,sRNA,NC_002505,+,106481,106537,63669,119,true,0.0,0.0,24.796552450177867,5.182146870122061e-25,3.137502032810568e-22,27,0.2313,28,0.2188
Vcr229,sRNA,NC_002506,+,897527,897726,VSsrna24,sRNA,NC_002505,+,106481,106537,17738,41,true,0.0,0.0,9.710872028857466,2.54134488483809e-273,1.3847788277482753e-269,28,0.2324,28,0.2226
VSsrna24,sRNA,NC_002505,+,106481,106537,FarS,sRNA,NC_002505,-,2266017,2266134,12914,17,true,0.0,0.0,10.974509398966173,9.491774569967293e-20,5.172067963175177e-17,28,0.2362,28,0.2176
VC0734,CDS_UTRS,NC_002505,+,788749,790684,Vcr001,sRNA,NC_002505,+,21901,21941,12807,43,true,0.0,0.0,47.829795382377405,0.000446833755891175,0.038043705247672074,28,0.2344,28,0.2264
MicX,sRNA,NC_002506,-,893273,893616,VC0972,CDS_UTRS,NC_002505,+,1037691,1038978,10183,26,true,0.0,0.0,327.8770600738796,0.0010031194104517152,0.07287996890068528,28,0.2311,27,0.2174
Vcr025,sRNA,NC_002505,+,522631,522716,VadR,sRNA,NC_002506,+,3202,3285,10101,16,true,0.0,0.0,1749.364206227426,1.5229758667017098e-6,0.0002514756211411399,28,0.2307,28,0.2235
VSsrna24,sRNA,NC_002505,+,106481,106537,Vcr229,sRNA,NC_002506,+,897527,897726,8542,9,true,0.0,0.0,32.42096080810984,5.814362510236255e-176,1.5841230659138677e-172,28,0.2403,27,0.2194
VC0549,CDS_UTRS,NC_002505,+,582157,582617,Vcr001,sRNA,NC_002505,+,21901,21941,7505,14,true,0.0,0.0,46.5544890792404,1.0246963316700778e-9,2.792419750689225e-7,28,0.228,28,0.2224
VC0972,CDS_UTRS,NC_002505,+,1037691,1038978,MicX,sRNA,NC_002506,-,893273,893616,7431,9,true,0.0,0.0,690.7789120408947,8.074644453500678e-5,0.008799747525425039,28,0.234,28,0.221
