name1,type1,ref1,strand1,left1,right1,name2,type2,ref2,strand2,left2,right2,nb_ints,nb_multi,in_libs,fisher_pvalue,fisher_fdr,odds_ratio,bp_pvalue,bp_fdr,meanlen1,nms1,meanlen2,nms2
Vcr222,sRNA,NC_002505,-,2783840,2783908,OppZ,sRNA,NC_002505,+,1164273,1164325,67359,3,true,0.0,0.0,84.10460650525215,4.835544440047543e-102,1.1121752212109349e-99,29,0.2413,29,0.2316
FarS,sRNA,NC_002505,-,2266017,2266134,VSsrna24,sRNA,NC_002505,+,106481,106537,52350,3,true,0.0,0.0,14.364865528944676,7.731652839630378e-22,5.92760051038329e-20,29,0.2414,29,0.2306
Vcr229,sRNA,NC_002506,+,897527,897726,VSsrna24,sRNA,NC_002505,+,106481,106537,14636,0,true,0.0,0.0,6.782701548911116,7.850794629251398e-248,5.417048294183465e-245,29,0.2423,29,0.2306
VC0734,CDS_UTRS,NC_002505,+,788749,790684,Vcr001,sRNA,NC_002505,+,21901,21941,10820,0,true,0.0,0.0,30.11299417602496,0.0005010275993807543,0.007515413990711314,29,0.2445,29,0.235
VSsrna24,sRNA,NC_002505,+,106481,106537,FarS,sRNA,NC_002505,-,2266017,2266134,10649,1,true,0.0,0.0,4.937547848493572,5.783392454262457e-16,3.627764357673723e-14,29,0.2428,29,0.2254
Vcr025,sRNA,NC_002505,+,522631,522716,VadR,sRNA,NC_002506,+,3202,3285,8340,0,true,0.0,0.0,656.2315920420579,1.1488213839424782e-6,2.8310241247153925e-5,29,0.239,29,0.2336
MicX,sRNA,NC_002506,-,893273,893616,VC0972,CDS_UTRS,NC_002505,+,1037691,1038978,8295,0,true,0.0,0.0,129.85039373913165,0.0053302888859003954,0.06810924687539395,29,0.2421,29,0.2303
VSsrna24,sRNA,NC_002505,+,106481,106537,Vcr229,sRNA,NC_002506,+,897527,897726,7059,0,true,0.0,0.0,12.630250583847777,1.283764461157722e-175,4.4289873909941415e-173,29,0.2499,29,0.2309
VC0549,CDS_UTRS,NC_002505,+,582157,582617,Vcr001,sRNA,NC_002505,+,21901,21941,6262,0,true,0.0,0.0,27.98390490161446,4.054020578791696e-8,1.3986370996831353e-6,29,0.2386,29,0.2316
VC0972,CDS_UTRS,NC_002505,+,1037691,1038978,MicX,sRNA,NC_002506,-,893273,893616,6122,0,true,0.0,0.0,178.88225167839278,2.463084812985884e-5,0.0004734241387640521,29,0.2445,29,0.2303
VC0573,CDS_UTRS,NC_002505,+,604056,604812,Vcr001,sRNA,NC_002505,+,21901,21941,4414,1,true,0.0,0.0,19.548026579646557,0.7833617051212971,1.0,29,0.2413,29,0.2336
VCA0059,CDS_UTRS,NC_002506,-,66326,66974,VrrA,sRNA,NC_002505,+,1878684,1878823,3906,0,true,0.0,0.0,306.68247009058314,8.604546551486616e-6,0.00018353331707409196,29,0.2501,29,0.2345
oppA,CDS_UTRS,NC_002505,+,1158468,1160373,Vcr001,sRNA,NC_002505,+,21901,21941,2645,0,true,0.0,0.0,13.606060750499651,0.01083448244297114,0.12255398173196863,29,0.2586,29,0.228
VC2086,CDS_UTRS,NC_002505,-,2245324,2246621,Vcr001,sRNA,NC_002505,+,21901,21941,2565,0,true,0.0,0.0,13.41679881517689,3.4544743478671715e-6,7.945291000094494e-5,29,0.2429,29,0.2402
VC1337,CDS_UTRS,NC_002505,+,1420725,1421993,Spot42,sRNA,NC_002505,+,106076,106185,2553,0,true,0.0,0.0,1397.3756801612867,0.4416679568684334,0.8584532119414622,29,0.2487,29,0.2354
VSsrna24,sRNA,NC_002505,+,106481,106537,Vcr001,sRNA,NC_002505,+,21901,21941,2361,0,true,1.0,1.0,0.3012696673325568,0.9266596084256262,1.0,29,0.2435,29,0.2317
VCA1097,CDS_UTRS,NC_002506,-,1052859,1053364,VqmR,sRNA,NC_002506,+,1031438,1031588,2188,0,true,0.0,0.0,286.5905589567726,7.137284991195038e-10,2.8968980258379856e-8,29,0.2377,29,0.2276
VC1461,CDS_UTRS,NC_002505,-,1570993,1571309,Vcr096,sRNA,NC_002506,-,243936,243986,2082,0,true,0.0,0.0,2681.3021480694433,3.2295512892382405e-12,1.7141464535187585e-10,29,0.2445,29,0.2373
